City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
350,saint-philippe,-21.3585,55.7679,23.77,88,66,3.86,RE,1701983787
351,lensk,60.7253,114.9278,-44.29,100,96,1.13,RU,1701983787
352,haiku-pauwela,20.9219,-156.3051,27.01,60,40,3.09,US,1701983788
353,bandarbeyla,9.4942,50.8122,24.65,67,2,8.6,SO,1701983788
354,champoton,19.35,-90.7167,26.48,55,99,3.61,MX,1701983788
355,smithers,54.7804,-127.1743,-3.82,93,100,2.57,CA,1701983788
356,saipan,15.1355,145.701,27.39,83,40,5.66,MP,1701983788
357,ta`u,-14.2336,-169.5144,27.26,84,68,5.82,AS,1701983788
358,tarko-sale,64.9225,77.785,-22.22,98,100,6.19,RU,1701983789
359,palikir - national government center,6.9248,158.1611,28.41,74,100,6.17,FM,1701983789
360,ouahigouya,13.5828,-2.4216,26.09,12,31,4.84,BF,1701983789
361,ajaokuta,7.5623,6.655,29.42,31,91,0.96,NG,1701983789
